kernelversion,contributor,value,Percentage
Linux-4.14(2017-11-12),lemonage software,1,0.01
Linux-4.14(2017-11-12),EZchip Technologies,1,0.01
Linux-4.14(2017-11-12),Dialog Semiconductor,1,0.01
Linux-4.14(2017-11-12),Spectralink,1,0.01
Linux-4.14(2017-11-12),AdFin,1,0.01
Linux-4.14(2017-11-12),Xiaomi,1,0.01
Linux-4.14(2017-11-12),Miracle Linux,1,0.01
Linux-4.14(2017-11-12),Brocade,1,0.01
Linux-4.14(2017-11-12),KFKI Research Institute,1,0.01
Linux-4.14(2017-11-12),Paratronic,1,0.01
Linux-4.14(2017-11-12),Allied Telesis,1,0.01
Linux-4.14(2017-11-12),GNU,1,0.01
Linux-4.14(2017-11-12),Qtechnology,1,0.01
Linux-4.14(2017-11-12),6WIND,1,0.01
Linux-4.14(2017-11-12),ESD Electronics,1,0.01
Linux-4.14(2017-11-12),PEAK-System,1,0.01
Linux-4.13(2017-09-03),Unknown,2819,21.67
Linux-4.13(2017-09-03),Intel,1451,11.16
Linux-4.13(2017-09-03),Red Hat,799,6.14
Linux-4.13(2017-09-03),Novell,585,4.5
Linux-4.13(2017-09-03),IBM,459,3.53
Linux-4.13(2017-09-03),Linaro,449,3.45
Linux-4.13(2017-09-03),Google,411,3.16
Linux-4.13(2017-09-03),AMD,410,3.15
Linux-4.13(2017-09-03),Hobbyists,386,2.97
Linux-4.13(2017-09-03),Renesas Electronics,337,2.59
Linux-4.13(2017-09-03),Mellanox Technologies,302,2.32
Linux-4.13(2017-09-03),Oracle,295,2.27
Linux-4.13(2017-09-03),Samsung,264,2.03
Linux-4.13(2017-09-03),Bootlin,212,1.63
Linux-4.13(2017-09-03),ARM,211,1.62
Linux-4.13(2017-09-03),Canonical,209,1.61
Linux-4.13(2017-09-03),Cavium,205,1.58
Linux-4.13(2017-09-03),Linutronix,183,1.41
Linux-4.13(2017-09-03),Texas Instruments,171,1.31
Linux-4.13(2017-09-03),NXP,152,1.17
Linux-4.13(2017-09-03),Huawei,152,1.17
Linux-4.13(2017-09-03),Netronome,133,1.02
Linux-4.13(2017-09-03),Realtek,122,0.94
Linux-4.13(2017-09-03),Socionext Inc.,118,0.91
Linux-4.13(2017-09-03),Code Aurora Forum,106,0.82
Linux-4.13(2017-09-03),Facebook,103,0.79
Linux-4.13(2017-09-03),Broadcom,96,0.74
Linux-4.13(2017-09-03),Savoir-faire Linux,91,0.7
Linux-4.13(2017-09-03),Rockchip,88,0.68
Linux-4.13(2017-09-03),Imagination Technologies,88,0.68
Linux-4.13(2017-09-03),Collabora,83,0.64
Linux-4.13(2017-09-03),Linux Foundation,79,0.61
Linux-4.13(2017-09-03),STMicroelectronics,71,0.55
Linux-4.13(2017-09-03),Pengutronix,68,0.52
Linux-4.13(2017-09-03),MediaTek,61,0.47
Linux-4.13(2017-09-03),Baylibre,58,0.45
Linux-4.13(2017-09-03),Chelsio,49,0.38
Linux-4.13(2017-09-03),Hovold Consulting AB,42,0.32
Linux-4.13(2017-09-03),Cisco,41,0.32
Linux-4.13(2017-09-03),Hewlett Packard Enterprise,37,0.28
Linux-4.13(2017-09-03),Microchip Technology Inc.,33,0.25
Linux-4.13(2017-09-03),Atomide,33,0.25
Linux-4.13(2017-09-03),Siemens,31,0.24
Linux-4.13(2017-09-03),Consultants,31,0.24
Linux-4.13(2017-09-03),Academics,29,0.22
Linux-4.13(2017-09-03),CTERA Networks,29,0.22
Linux-4.13(2017-09-03),Western Digital,29,0.22
Linux-4.13(2017-09-03),Microsoft,28,0.22
Linux-4.13(2017-09-03),Fujitsu,27,0.21
Linux-4.13(2017-09-03),Synopsys,26,0.2
Linux-4.13(2017-09-03),Allied Telesis,26,0.2
Linux-4.13(2017-09-03),Unisys,25,0.19
Linux-4.13(2017-09-03),Cumulus Networks,24,0.18
Linux-4.13(2017-09-03),Ideas on board,24,0.18
Linux-4.13(2017-09-03),Primary Data,24,0.18
Linux-4.13(2017-09-03),Applied Micro,23,0.18
Linux-4.13(2017-09-03),NVIDIA,23,0.18
Linux-4.13(2017-09-03),Marvell,22,0.17
Linux-4.13(2017-09-03),Ericsson,22,0.17
Linux-4.13(2017-09-03),Glider bvba,20,0.15
Linux-4.13(2017-09-03),Cogent Embedded,20,0.15
Linux-4.13(2017-09-03),Parallels,19,0.15
Linux-4.13(2017-09-03),Kylin Software,17,0.13
Linux-4.13(2017-09-03),Astaro,17,0.13
Linux-4.13(2017-09-03),Motorola,16,0.12
Linux-4.13(2017-09-03),QUALCOMM,15,0.12
Linux-4.13(2017-09-03),LWN,15,0.12
Linux-4.13(2017-09-03),RisingTide Systems,15,0.12
Linux-4.13(2017-09-03),Wolfson Microelectronics,13,0.1
Linux-4.13(2017-09-03),Amazon,13,0.1
Linux-4.13(2017-09-03),Tencent,13,0.1
Linux-4.13(2017-09-03),LG Electonics,12,0.09
Linux-4.13(2017-09-03),Animal Creek Technologies,12,0.09
Linux-4.13(2017-09-03),XILINX,11,0.08
Linux-4.13(2017-09-03),DENX Software Engineering,11,0.08
Linux-4.13(2017-09-03),"Rowland Institute, Harvard",10,0.08
Linux-4.13(2017-09-03),MEV Limited,10,0.08
Linux-4.13(2017-09-03),NEC,10,0.08
Linux-4.13(2017-09-03),KEYMILE,9,0.07
Linux-4.13(2017-09-03),Dialog Semiconductor,9,0.07
Linux-4.13(2017-09-03),China Mobile,9,0.07
Linux-4.13(2017-09-03),Mentor Graphics,8,0.06
Linux-4.13(2017-09-03),ROHM Semiconductors,8,0.06
Linux-4.13(2017-09-03),VMWare,8,0.06
Linux-4.13(2017-09-03),Golden Delicious Computers,7,0.05
Linux-4.13(2017-09-03),Fixstars Technologies,7,0.05
Linux-4.13(2017-09-03),Loongson,7,0.05
Linux-4.13(2017-09-03),Cadence Design Systems,7,0.05
Linux-4.13(2017-09-03),Solarflare Communications,7,0.05
Linux-4.13(2017-09-03),Debian,6,0.05
Linux-4.13(2017-09-03),Atmel,6,0.05
Linux-4.13(2017-09-03),MontaVista,6,0.05
Linux-4.13(2017-09-03),Wacom,5,0.04
Linux-4.13(2017-09-03),AXIS,5,0.04
Linux-4.13(2017-09-03),XMission,5,0.04
Linux-4.13(2017-09-03),Boundary Devices,5,0.04
Linux-4.13(2017-09-03),Candela Tech.,5,0.04
Linux-4.13(2017-09-03),ALT Linux,5,0.04
Linux-4.13(2017-09-03),DELL,5,0.04
Linux-4.13(2017-09-03),secunet Security Networks AG,5,0.04
Linux-4.13(2017-09-03),NetApp,5,0.04
Linux-4.13(2017-09-03),General Electric,4,0.03
Linux-4.13(2017-09-03),US National Security Agency,4,0.03
Linux-4.13(2017-09-03),Ingics Technology,4,0.03
Linux-4.13(2017-09-03),6WIND,4,0.03
Linux-4.13(2017-09-03),EMC,3,0.02
Linux-4.13(2017-09-03),ACM,3,0.02
Linux-4.13(2017-09-03),Synaptics,3,0.02
Linux-4.13(2017-09-03),NTT,3,0.02
Linux-4.13(2017-09-03),Amarula Solutions,3,0.02
Linux-4.13(2017-09-03),Citrix,3,0.02
Linux-4.13(2017-09-03),Obsidian Research,3,0.02
Linux-4.13(2017-09-03),Nokia,3,0.02
Linux-4.13(2017-09-03),SiS,3,0.02
Linux-4.13(2017-09-03),VanguardiaSur,2,0.02
Linux-4.13(2017-09-03),Cirrus Logic,2,0.02
Linux-4.13(2017-09-03),Tk Open Systems,2,0.02
Linux-4.13(2017-09-03),Bluecherry,2,0.02
Linux-4.13(2017-09-03),Tuxera,2,0.02
Linux-4.13(2017-09-03),ZTE,2,0.02
Linux-4.13(2017-09-03),Cypress Semiconductor,1,0.01
Linux-4.13(2017-09-03),SONY,1,0.01
Linux-4.13(2017-09-03),Akamai,1,0.01
Linux-4.13(2017-09-03),Zoho,1,0.01
Linux-4.13(2017-09-03),Evidence Srl,1,0.01
Linux-4.13(2017-09-03),HP,1,0.01
Linux-4.13(2017-09-03),OSADL,1,0.01
Linux-4.13(2017-09-03),Semihalf Embedded Systems,1,0.01
Linux-4.13(2017-09-03),National Instruments,1,0.01
Linux-4.13(2017-09-03),Micro-Star International,1,0.01
Linux-4.13(2017-09-03),Digi International,1,0.01
Linux-4.13(2017-09-03),Redpill Linpro AS,1,0.01
Linux-4.13(2017-09-03),LSI,1,0.01
Linux-4.13(2017-09-03),emlix Gmbh,1,0.01
Linux-4.13(2017-09-03),Intra2net AG,1,0.01
Linux-4.13(2017-09-03),Hansen Partnership,1,0.01
Linux-4.13(2017-09-03),Open Grid Computing,1,0.01
Linux-4.13(2017-09-03),Analog Devices,1,0.01
Linux-4.13(2017-09-03),Orcon Internet,1,0.01
Linux-4.12(2017-07-02),Unknown,3260,22.37
Linux-4.12(2017-07-02),Intel,2020,13.86
Linux-4.12(2017-07-02),Red Hat,1157,7.94
Linux-4.12(2017-07-02),IBM,601,4.12
Linux-4.12(2017-07-02),AMD,518,3.56
Linux-4.12(2017-07-02),Novell,471,3.23
Linux-4.12(2017-07-02),Hobbyists,459,3.15
Linux-4.12(2017-07-02),Linaro,429,2.94
Linux-4.12(2017-07-02),Google,386,2.65
Linux-4.12(2017-07-02),Mellanox Technologies,276,1.89
Linux-4.12(2017-07-02),Renesas Electronics,268,1.84
Linux-4.12(2017-07-02),Samsung,248,1.7
Linux-4.12(2017-07-02),ARM,246,1.69
Linux-4.12(2017-07-02),Oracle,224,1.54
Linux-4.12(2017-07-02),Bootlin,187,1.28
Linux-4.12(2017-07-02),Cavium,187,1.28
Linux-4.12(2017-07-02),NVIDIA,179,1.23
Linux-4.12(2017-07-02),Huawei,173,1.19
Linux-4.12(2017-07-02),Texas Instruments,167,1.15
Linux-4.12(2017-07-02),Canonical,160,1.1
Linux-4.12(2017-07-02),Facebook,143,0.98
Linux-4.12(2017-07-02),NXP,140,0.96
Linux-4.12(2017-07-02),Baylibre,134,0.92
Linux-4.12(2017-07-02),Hovold Consulting AB,124,0.85
Linux-4.12(2017-07-02),Unisys,118,0.81
Linux-4.12(2017-07-02),Broadcom,106,0.73
Linux-4.12(2017-07-02),Realtek,98,0.67
Linux-4.12(2017-07-02),Code Aurora Forum,91,0.62
Linux-4.12(2017-07-02),Pengutronix,89,0.61
Linux-4.12(2017-07-02),Imagination Technologies,88,0.6
Linux-4.12(2017-07-02),Collabora,79,0.54
Linux-4.12(2017-07-02),Rockchip,78,0.54
Linux-4.12(2017-07-02),Netronome,71,0.49
Linux-4.12(2017-07-02),Cisco,67,0.46
Linux-4.12(2017-07-02),Synopsys,66,0.45
Linux-4.12(2017-07-02),Socionext Inc.,62,0.43
Linux-4.12(2017-07-02),MediaTek,60,0.41
Linux-4.12(2017-07-02),Savoir-faire Linux,60,0.41
Linux-4.12(2017-07-02),Kylin Software,56,0.38
Linux-4.12(2017-07-02),STMicroelectronics,50,0.34
Linux-4.12(2017-07-02),QUALCOMM,50,0.34
Linux-4.12(2017-07-02),Cumulus Networks,44,0.3
Linux-4.12(2017-07-02),Wolfson Microelectronics,42,0.29
Linux-4.12(2017-07-02),Linutronix,40,0.27
Linux-4.12(2017-07-02),Atomide,38,0.26
Linux-4.12(2017-07-02),Astaro,37,0.25
Linux-4.12(2017-07-02),Motorola,37,0.25
Linux-4.12(2017-07-02),MEV Limited,34,0.23
Linux-4.12(2017-07-02),NetApp,32,0.22
Linux-4.12(2017-07-02),Academics,30,0.21
Linux-4.12(2017-07-02),VMWare,30,0.21
Linux-4.12(2017-07-02),Primary Data,30,0.21
Linux-4.12(2017-07-02),Marvell,28,0.19
Linux-4.12(2017-07-02),Linux Foundation,26,0.18
Linux-4.12(2017-07-02),National Instruments,23,0.16
Linux-4.12(2017-07-02),Glider bvba,22,0.15
Linux-4.12(2017-07-02),Applied Micro,21,0.14
Linux-4.12(2017-07-02),Microsoft,21,0.14
Linux-4.12(2017-07-02),Fujitsu,21,0.14
Linux-4.12(2017-07-02),CTERA Networks,20,0.14
Linux-4.12(2017-07-02),Cadence Design Systems,20,0.14
Linux-4.12(2017-07-02),Chelsio,20,0.14
Linux-4.12(2017-07-02),secunet Security Networks AG,19,0.13
Linux-4.12(2017-07-02),Microchip Technology Inc.,18,0.12
Linux-4.12(2017-07-02),Parallels,18,0.12
Linux-4.12(2017-07-02),Amarula Solutions,17,0.12
Linux-4.12(2017-07-02),Tuxera,17,0.12
Linux-4.12(2017-07-02),6WIND,16,0.11
Linux-4.12(2017-07-02),Ericsson,15,0.1
Linux-4.12(2017-07-02),Mentor Graphics,15,0.1
Linux-4.12(2017-07-02),Analog Devices,14,0.1
Linux-4.12(2017-07-02),Amazon,13,0.09
Linux-4.12(2017-07-02),AXIS,13,0.09
Linux-4.12(2017-07-02),Allied Telesis,12,0.08
Linux-4.12(2017-07-02),Hewlett Packard Enterprise,12,0.08
Linux-4.12(2017-07-02),Tencent,11,0.08
Linux-4.12(2017-07-02),DENX Software Engineering,11,0.08
Linux-4.12(2017-07-02),Fixstars Technologies,10,0.07
Linux-4.12(2017-07-02),Synaptics,10,0.07
Linux-4.12(2017-07-02),XMission,10,0.07
Linux-4.12(2017-07-02),Volkswagen,10,0.07
Linux-4.12(2017-07-02),China Mobile,10,0.07
Linux-4.12(2017-07-02),RisingTide Systems,10,0.07
Linux-4.12(2017-07-02),Golden Delicious Computers,8,0.05
Linux-4.12(2017-07-02),Cogent Embedded,8,0.05
Linux-4.12(2017-07-02),Paratronic,8,0.05
Linux-4.12(2017-07-02),NTT,8,0.05
Linux-4.12(2017-07-02),Nokia,8,0.05
Linux-4.12(2017-07-02),Western Digital,8,0.05
Linux-4.12(2017-07-02),Siemens,7,0.05
Linux-4.12(2017-07-02),Debian,7,0.05
Linux-4.12(2017-07-02),Ideas on board,6,0.04
Linux-4.12(2017-07-02),Miracle Linux,6,0.04
Linux-4.12(2017-07-02),Tk Open Systems,6,0.04
Linux-4.12(2017-07-02),Infineon Technologies AG,6,0.04
Linux-4.12(2017-07-02),Wacom,5,0.03
Linux-4.12(2017-07-02),Vision Systems,5,0.03
Linux-4.12(2017-07-02),PHYTEC,5,0.03
Linux-4.12(2017-07-02),Solarflare Communications,5,0.03
Linux-4.12(2017-07-02),Dialog Semiconductor,5,0.03
Linux-4.12(2017-07-02),PEAK-System,5,0.03
Linux-4.12(2017-07-02),Brocade,4,0.03
Linux-4.12(2017-07-02),Ingics Technology,4,0.03
Linux-4.12(2017-07-02),Tieto,4,0.03
Linux-4.12(2017-07-02),"Rowland Institute, Harvard",4,0.03
Linux-4.12(2017-07-02),US National Security Agency,3,0.02
Linux-4.12(2017-07-02),EXOSEC,3,0.02
Linux-4.12(2017-07-02),Consultants,3,0.02
Linux-4.12(2017-07-02),ZTE,3,0.02
Linux-4.12(2017-07-02),XILINX,3,0.02
Linux-4.12(2017-07-02),Freescale,3,0.02
Linux-4.12(2017-07-02),Obsidian Research,3,0.02
Linux-4.12(2017-07-02),protonic holland,3,0.02
Linux-4.12(2017-07-02),Hansen Partnership,3,0.02
Linux-4.12(2017-07-02),NEC,3,0.02
Linux-4.12(2017-07-02),General Electric,3,0.02
Linux-4.12(2017-07-02),KEYMILE,3,0.02
Linux-4.12(2017-07-02),Xyratex,2,0.01
Linux-4.12(2017-07-02),Cirrus Logic,2,0.01
Linux-4.12(2017-07-02),Promise Technology,2,0.01
Linux-4.12(2017-07-02),SYSGO,2,0.01
Linux-4.12(2017-07-02),South Pole AB,2,0.01
Linux-4.12(2017-07-02),VanguardiaSur,2,0.01
Linux-4.12(2017-07-02),LWN,2,0.01
Linux-4.12(2017-07-02),Timesys,2,0.01
Linux-4.12(2017-07-02),ALT Linux,2,0.01
Linux-4.12(2017-07-02),LG Electonics,2,0.01
Linux-4.12(2017-07-02),EMC,2,0.01
Linux-4.12(2017-07-02),emlix Gmbh,1,0.01
Linux-4.12(2017-07-02),CompuLab,1,0.01
Linux-4.12(2017-07-02),"Hitachi Solutions, Ltd.",1,0.01
Linux-4.12(2017-07-02),Neratec Solutions AG,1,0.01
Linux-4.12(2017-07-02),Bluecherry,1,0.01
Linux-4.12(2017-07-02),Akamai,1,0.01
Linux-4.12(2017-07-02),Candela Tech.,1,0.01
Linux-4.12(2017-07-02),Toshiba Computer,1,0.01
Linux-4.12(2017-07-02),Altera,1,0.01
Linux-4.12(2017-07-02),Boundary Devices,1,0.01
Linux-4.12(2017-07-02),Loongson,1,0.01
Linux-4.12(2017-07-02),Hitachi,1,0.01
Linux-4.12(2017-07-02),Atmel,1,0.01
Linux-4.12(2017-07-02),Zoho,1,0.01
Linux-4.12(2017-07-02),Extreme Engineering Solutions,1,0.01
Linux-4.12(2017-07-02),Semihalf Embedded Systems,1,0.01
Linux-4.12(2017-07-02),FastMail.FM,1,0.01
Linux-4.12(2017-07-02),Codethink,1,0.01
Linux-4.12(2017-07-02),LinBit,1,0.01
Linux-4.12(2017-07-02),Apple,1,0.01
Linux-4.12(2017-07-02),IDT,1,0.01
Linux-4.12(2017-07-02),QLogic,1,0.01
Linux-4.12(2017-07-02),Stratus Technologies,1,0.01
Linux-4.12(2017-07-02),Alibaba,1,0.01
Linux-4.12(2017-07-02),hackers.mu,1,0.01
Linux-4.12(2017-07-02),Matrox,1,0.01
Linux-4.12(2017-07-02),DELL,1,0.01
Linux-4.12(2017-07-02),Citrix,1,0.01
Linux-4.12(2017-07-02),OMICRON electronics,1,0.01
Linux-4.12(2017-07-02),Mobile Devices Ingenierie,1,0.01
Linux-4.11(2017-04-30),Unknown,2891,22.72
Linux-4.11(2017-04-30),Intel,1570,12.34
Linux-4.11(2017-04-30),Red Hat,973,7.65
Linux-4.11(2017-04-30),Linaro,601,4.72
Linux-4.11(2017-04-30),Hobbyists,522,4.1
Linux-4.11(2017-04-30),Novell,475,3.73
Linux-4.11(2017-04-30),IBM,440,3.46
Linux-4.11(2017-04-30),Google,341,2.68
Linux-4.11(2017-04-30),Mellanox Technologies,275,2.16
Linux-4.11(2017-04-30),Samsung,272,2.14
Linux-4.11(2017-04-30),Oracle,248,1.95
Linux-4.11(2017-04-30),Renesas Electronics,219,1.72
Linux-4.11(2017-04-30),AMD,208,1.63
Linux-4.11(2017-04-30),Broadcom,183,1.44
Linux-4.11(2017-04-30),Canonical,168,1.32
Linux-4.11(2017-04-30),Huawei,165,1.3
Linux-4.11(2017-04-30),Imagination Technologies,163,1.28
Linux-4.11(2017-04-30),Code Aurora Forum,146,1.15
Linux-4.11(2017-04-30),Facebook,141,1.11
Linux-4.11(2017-04-30),Texas Instruments,135,1.06
Linux-4.11(2017-04-30),Cavium,128,1.01
Linux-4.11(2017-04-30),Academics,119,0.94
Linux-4.11(2017-04-30),Ericsson,112,0.88
Linux-4.11(2017-04-30),ARM,111,0.87
Linux-4.11(2017-04-30),Microsoft,105,0.83
Linux-4.11(2017-04-30),STMicroelectronics,103,0.81
Linux-4.11(2017-04-30),Bootlin,97,0.76
Linux-4.11(2017-04-30),NXP,94,0.74
Linux-4.11(2017-04-30),Hovold Consulting AB,80,0.63
Linux-4.11(2017-04-30),Baylibre,74,0.58
Linux-4.11(2017-04-30),Synopsys,64,0.5
Linux-4.11(2017-04-30),Pengutronix,61,0.48
Linux-4.11(2017-04-30),Cumulus Networks,55,0.43
Linux-4.11(2017-04-30),MediaTek,53,0.42
Linux-4.11(2017-04-30),Rockchip,52,0.41
Linux-4.11(2017-04-30),Socionext Inc.,51,0.4
Linux-4.11(2017-04-30),NVIDIA,47,0.37
Linux-4.11(2017-04-30),Motorola,47,0.37
Linux-4.11(2017-04-30),Collabora,44,0.35
Linux-4.11(2017-04-30),Glider bvba,43,0.34
Linux-4.11(2017-04-30),QUALCOMM,39,0.31
Linux-4.11(2017-04-30),Astaro,35,0.28
Linux-4.11(2017-04-30),Chelsio,31,0.24
Linux-4.11(2017-04-30),Ideas on board,29,0.23
Linux-4.11(2017-04-30),MEV Limited,29,0.23
Linux-4.11(2017-04-30),Solarflare Communications,29,0.23
Linux-4.11(2017-04-30),Netronome,29,0.23
Linux-4.11(2017-04-30),NetApp,29,0.23
Linux-4.11(2017-04-30),Realtek,27,0.21
Linux-4.11(2017-04-30),Kylin Software,26,0.2
Linux-4.11(2017-04-30),Atomide,26,0.2
Linux-4.11(2017-04-30),Unisys,25,0.2
Linux-4.11(2017-04-30),Savoir-faire Linux,24,0.19
Linux-4.11(2017-04-30),Atmel,24,0.19
Linux-4.11(2017-04-30),Marvell,22,0.17
Linux-4.11(2017-04-30),Fujitsu,22,0.17
Linux-4.11(2017-04-30),Linutronix,21,0.17
Linux-4.11(2017-04-30),Linux Foundation,21,0.17
Linux-4.11(2017-04-30),Primary Data,20,0.16
Linux-4.11(2017-04-30),ALT Linux,19,0.15
Linux-4.11(2017-04-30),OSADL,17,0.13
Linux-4.11(2017-04-30),Wolfson Microelectronics,15,0.12
Linux-4.11(2017-04-30),Tieto,14,0.11
Linux-4.11(2017-04-30),secunet Security Networks AG,14,0.11
Linux-4.11(2017-04-30),Allied Telesis,14,0.11
Linux-4.11(2017-04-30),VMWare,13,0.1
Linux-4.11(2017-04-30),Nokia,12,0.09
Linux-4.11(2017-04-30),Cisco,12,0.09
Linux-4.11(2017-04-30),Citrix,12,0.09
Linux-4.11(2017-04-30),RisingTide Systems,12,0.09
Linux-4.11(2017-04-30),AXIS,11,0.09
Linux-4.11(2017-04-30),Cogent Embedded,11,0.09
Linux-4.11(2017-04-30),Parallels,11,0.09
Linux-4.11(2017-04-30),Analog Devices,10,0.08
Linux-4.11(2017-04-30),DENX Software Engineering,10,0.08
Linux-4.11(2017-04-30),PHYTEC,10,0.08
Linux-4.11(2017-04-30),US National Security Agency,10,0.08
Linux-4.11(2017-04-30),SGI,10,0.08
Linux-4.11(2017-04-30),Siemens,10,0.08
Linux-4.11(2017-04-30),Saunalahti.fi,10,0.08
Linux-4.11(2017-04-30),CTERA Networks,10,0.08
Linux-4.11(2017-04-30),Obsidian Research,9,0.07
Linux-4.11(2017-04-30),LG Electonics,9,0.07
Linux-4.11(2017-04-30),Codethink,8,0.06
Linux-4.11(2017-04-30),Microchip Technology Inc.,8,0.06
Linux-4.11(2017-04-30),Consultants,8,0.06
Linux-4.11(2017-04-30),XMission,8,0.06
Linux-4.11(2017-04-30),Wacom,8,0.06
Linux-4.11(2017-04-30),Tencent,8,0.06
Linux-4.11(2017-04-30),Boundary Devices,7,0.06
Linux-4.11(2017-04-30),Amarula Solutions,7,0.06
Linux-4.11(2017-04-30),Vision Systems,7,0.06
Linux-4.11(2017-04-30),Fixstars Technologies,7,0.06
Linux-4.11(2017-04-30),Brocade,7,0.06
Linux-4.11(2017-04-30),National Instruments,7,0.06
Linux-4.11(2017-04-30),Cray,6,0.05
Linux-4.11(2017-04-30),Synaptics,6,0.05
Linux-4.11(2017-04-30),Semihalf Embedded Systems,6,0.05
Linux-4.11(2017-04-30),Tuxera,6,0.05
Linux-4.11(2017-04-30),Cadence Design Systems,6,0.05
Linux-4.11(2017-04-30),China Mobile,5,0.04
Linux-4.11(2017-04-30),SONY,5,0.04
Linux-4.11(2017-04-30),LWN,5,0.04
Linux-4.11(2017-04-30),Tk Open Systems,5,0.04
Linux-4.11(2017-04-30),Loongson,5,0.04
Linux-4.11(2017-04-30),NTT,4,0.03
Linux-4.11(2017-04-30),KEYMILE,4,0.03
Linux-4.11(2017-04-30),XILINX,4,0.03
Linux-4.11(2017-04-30),Hewlett Packard Enterprise,4,0.03
Linux-4.11(2017-04-30),NEC,3,0.02
Linux-4.11(2017-04-30),Akamai,3,0.02
Linux-4.11(2017-04-30),SYS TEC electronic GmbH,3,0.02
Linux-4.11(2017-04-30),Emutex Ltd,3,0.02
Linux-4.11(2017-04-30),Ingics Technology,2,0.02
Linux-4.11(2017-04-30),Altera,2,0.02
Linux-4.11(2017-04-30),MontaVista,2,0.02
Linux-4.11(2017-04-30),General Electric,2,0.02
Linux-4.11(2017-04-30),Mentor Graphics,2,0.02
Linux-4.11(2017-04-30),Trend Micro,2,0.02
Linux-4.11(2017-04-30),KARO,2,0.02
Linux-4.11(2017-04-30),Nuvoton Technology,2,0.02
Linux-4.11(2017-04-30),Qtechnology,2,0.02
Linux-4.11(2017-04-30),Freescale,2,0.02
Linux-4.11(2017-04-30),Stratus Technologies,2,0.02
Linux-4.11(2017-04-30),Debian,2,0.02
Linux-4.11(2017-04-30),Western Digital,2,0.02
Linux-4.11(2017-04-30),Avionic Design Development GmbH,2,0.02
Linux-4.11(2017-04-30),Miracle Linux,2,0.02
Linux-4.11(2017-04-30),6WIND,2,0.02
Linux-4.11(2017-04-30),PEAK-System,2,0.02
Linux-4.11(2017-04-30),Candela Tech.,1,0.01
Linux-4.11(2017-04-30),Dialog Semiconductor,1,0.01
Linux-4.11(2017-04-30),Golden Delicious Computers,1,0.01
Linux-4.11(2017-04-30),Bitmer,1,0.01
Linux-4.11(2017-04-30),Newflow,1,0.01
Linux-4.11(2017-04-30),Extreme Engineering Solutions,1,0.01
Linux-4.11(2017-04-30),Sierra Wireless,1,0.01
Linux-4.11(2017-04-30),FastMail.FM,1,0.01
Linux-4.11(2017-04-30),OpenWrt,1,0.01
Linux-4.11(2017-04-30),Matrox,1,0.01
Linux-4.11(2017-04-30),ARMadeus Systems,1,0.01
Linux-4.11(2017-04-30),EfficiOS Inc.,1,0.01
Linux-4.11(2017-04-30),Volkswagen,1,0.01
Linux-4.11(2017-04-30),EXOSEC,1,0.01
Linux-4.11(2017-04-30),Open-Mesh,1,0.01
Linux-4.11(2017-04-30),South Pole AB,1,0.01
Linux-4.11(2017-04-30),protonic holland,1,0.01
Linux-4.11(2017-04-30),Apple,1,0.01
Linux-4.11(2017-04-30),SYSGO,1,0.01
Linux-4.11(2017-04-30),Hitachi,1,0.01
Linux-4.11(2017-04-30),Wabtec,1,0.01
Linux-4.11(2017-04-30),Kontron Embedded Modules,1,0.01
Linux-4.11(2017-04-30),VanguardiaSur,1,0.01
Linux-4.11(2017-04-30),KFKI Research Institute,1,0.01
Linux-4.11(2017-04-30),QLogic,1,0.01
Linux-4.11(2017-04-30),Mobile Devices,1,0.01
Linux-4.11(2017-04-30),Open Grid Computing,1,0.01
Linux-4.11(2017-04-30),Datera,1,0.01
Linux-4.11(2017-04-30),"Rowland Institute, Harvard",1,0.01
Linux-4.11(2017-04-30),Paratronic,1,0.01
Linux-4.11(2017-04-30),ExactCODE,1,0.01
Linux-4.11(2017-04-30),HP,1,0.01
Linux-4.11(2017-04-30),Xiaomi,1,0.01
Linux-4.10(2017-02-19),Unknown,2718,20.86
Linux-4.10(2017-02-19),Intel,1752,13.45
Linux-4.10(2017-02-19),Red Hat,908,6.97
Linux-4.10(2017-02-19),Samsung,518,3.98
Linux-4.10(2017-02-19),Novell,499,3.83
Linux-4.10(2017-02-19),Linaro,471,3.62
Linux-4.10(2017-02-19),Hobbyists,442,3.39
Linux-4.10(2017-02-19),IBM,357,2.74
Linux-4.10(2017-02-19),AMD,320,2.46
Linux-4.10(2017-02-19),Google,313,2.4
Linux-4.10(2017-02-19),Mellanox Technologies,278,2.13
Linux-4.10(2017-02-19),Renesas Electronics,242,1.86
Linux-4.10(2017-02-19),Huawei,230,1.77
Linux-4.10(2017-02-19),Texas Instruments,202,1.55
Linux-4.10(2017-02-19),Oracle,197,1.51
Linux-4.10(2017-02-19),Linutronix,184,1.41
Linux-4.10(2017-02-19),ARM,177,1.36
Linux-4.10(2017-02-19),NXP,153,1.17
Linux-4.10(2017-02-19),Code Aurora Forum,141,1.08
Linux-4.10(2017-02-19),Baylibre,140,1.07
Linux-4.10(2017-02-19),Broadcom,133,1.02
Linux-4.10(2017-02-19),Facebook,121,0.93
Linux-4.10(2017-02-19),Cavium,113,0.87
Linux-4.10(2017-02-19),Academics,104,0.8
Linux-4.10(2017-02-19),Canonical,98,0.75
Linux-4.10(2017-02-19),Synopsys,98,0.75
